gene	driver_prob	is_driver	is_labeled
TP53	0.9999995	1	1
TTN	0.9999298	0	0
KRAS	0.9987335	1	1
RYR2	0.996436	0	0
EGFR	0.9930957	1	1
ACTB	0.9731451	0	0
TLR4	0.9711922	0	0
ANK2	0.96863383	0	0
USH2A	0.96578234	0	0
SYNE1	0.96405965	0	0
GAPDH	0.9592287	0	0
OBSCN	0.9464428	0	0
PXDNL	0.9442911	0	0
APOB	0.94005144	0	0
CTNNB1	0.93979895	1	1
FAT4	0.9394334	1	1
VCAN	0.9342247	0	0
AKT1	0.93041074	1	1
COL6A3	0.92181814	0	0
HMCN1	0.9100317	0	0
ADAMTS12	0.90934575	0	0
LRRK2	0.9048389	0	0
MRC1	0.9045329	0	0
AHNAK	0.90343076	0	0
MXRA5	0.90157014	0	0
ATM	0.89866495	1	1
LRP1B	0.8941644	1	1
PXDN	0.8938446	0	0
DST	0.8937949	0	0
FN1	0.8887545	0	0
FLG	0.8781764	0	0
KEAP1	0.8773222	1	1
PTEN	0.87160814	1	1
NALCN	0.8664197	0	0
ZFHX4	0.8587532	0	0
COL11A1	0.85811967	0	0
LRP2	0.8567673	0	0
RELN	0.8543104	0	0
HSP90AB1	0.8540052	1	1
PCDH15	0.85210276	0	0
BIRC6	0.84726906	0	0
PTPRD	0.8468496	0	0
LRP1	0.845411	0	0
KDR	0.8433775	1	1
CD4	0.84206915	0	0
ZNF536	0.840596	0	0
ITGAX	0.8394205	0	0
RPS27A	0.8310321	0	0
STK11	0.822044	1	1
CD44	0.82150257	0	0
RYR1	0.8214427	0	0
KMT2D	0.82056963	1	1
HERC2	0.81886786	0	0
VWF	0.81768465	0	0
JUN	0.81734544	1	1
RHOA	0.8147081	1	1
LAMA2	0.81418526	0	0
TIAM1	0.8111245	0	0
SRC	0.8098402	1	1
FAT1	0.80931014	1	1
PLEKHA4	0.80746317	0	0
APP	0.8043008	0	0
AKIRIN2	0.8032259	0	0
NFKB1	0.8010949	0	0
HSPA8	0.8003775	0	0
HSP90AA1	0.80018646	1	1
MTOR	0.79697424	1	1
CACNA1C	0.79281735	0	0
HSPA4	0.7924541	0	0
MACF1	0.788781	0	0
PDGFRA	0.7869051	1	1
UBC	0.7867281	0	0
DMD	0.7858598	0	0
EGF	0.7845544	0	0
INS	0.7842143	0	0
FLNA	0.78412706	0	0
MMP2	0.7830113	0	0
EEF2	0.78287464	0	0
CCND1	0.7799575	1	1
ANK3	0.77972007	0	0
IL1B	0.7795557	0	0
CHD4	0.77885044	1	1
CD74	0.77863204	1	1
HIF1A	0.77548087	1	1
PTPRB	0.7751159	1	1
XIRP2	0.7699412	0	0
PPARG	0.76974875	1	1
SETD2	0.76788014	1	1
KDM6A	0.76717013	1	1
STAT3	0.7657511	1	1
PLEC	0.7649165	0	0
TSHZ3	0.7648867	0	0
RANBP2	0.7641949	1	1
UBA52	0.7625402	0	0
FAT3	0.761099	0	0
CDH10	0.75985926	0	0
BCL2	0.7589272	1	1
B2M	0.7587813	1	1
NLRP3	0.75849694	0	0
SMARCA4	0.75685185	1	1
SPTA1	0.75654936	0	0
EP300	0.75606	1	1
CIT	0.7551702	0	0
CDC42	0.754949	0	0
HSPA5	0.7547263	0	0
CASP3	0.7541491	0	0
FLG2	0.75395644	0	0
PRKACB	0.75294733	0	0
PRKDC	0.7525815	0	0
NAV3	0.7494248	0	0
ATRX	0.7492498	1	1
KMT2C	0.74800396	1	1
BRD4	0.7477194	1	1
ERBB4	0.7468852	1	1
UBB	0.74679786	0	0
SLIT2	0.74439543	0	0
FLNC	0.74107337	0	0
CUL7	0.7392997	0	0
NF1	0.73896646	1	1
POLR2B	0.73894846	0	1
VCP	0.73889124	0	0
TRRAP	0.7387911	1	1
IL7R	0.73801804	1	1
EEF1A1	0.73776007	0	0
ZEB2	0.73690915	0	0
HTT	0.7367798	0	0
RPS3	0.73504746	0	0
PRKACA	0.73498267	1	1
TGFB1	0.734913	0	0
KIAA1109	0.7338078	0	0
F8	0.73321927	0	0
CDKN2A	0.7325235	1	1
ITGAM	0.73227084	0	0
MAP2	0.73166895	0	0
CACNA1E	0.73049736	0	0
CAV1	0.7275923	0	0
MUC16	0.7274229	0	0
RPL11	0.7265937	0	0
LTBP1	0.726528	0	0
ASTN1	0.72593915	0	0
RYR3	0.7246167	0	0
SYNE2	0.7238829	0	0
NCAM1	0.7231149	0	0
PALB2	0.72212994	1	1
GLI3	0.72196233	0	0
NOTCH4	0.7218604	0	0
CALM3	0.7216016	0	0
IFI16	0.7183518	0	0
CDH1	0.71820575	1	1
NPM1	0.7179979	1	1
ERBB2	0.71793234	1	1
CSMD1	0.7173878	0	0
CYCS	0.7171496	0	0
NR2C2	0.71638775	0	0
ASPM	0.7161623	0	0
DYSF	0.71609366	0	0
DHX9	0.7156688	0	0
A2M	0.715567	0	1
HDAC1	0.7153421	0	0
PDCD11	0.71511215	0	0
MKI67	0.7143627	0	0
PKHD1	0.7141134	0	0
PKM	0.713431	0	0
COL4A2	0.71299297	0	0
CHD3	0.71239895	0	0
CD34	0.7117135	0	0
RPL8	0.7115758	0	0
